Station ID,Message,,,
05521000,No data available,,,
04016000,No data available,,,
02310747,No data available,,,
011113500,No data available,,,
04096600,No data available,,,
011108134,No data available,,,
02217000,No data available,,,
03284555,No data available,,,
04160800,No data available,,,
04220250,No data available,,,
03342300,No data available,,,
03497000,No data available,,,
013339500,No data available,,,
012439300,No data available,,,
03102950,No data available,,,
013162225,No data available,,,
02326550,No data available,,,
010205030,No data available,,,
012150800,No data available,,,
014223500,No data available,,,
05558500,No data available,,,
014190000,No data available,,,
014159200,No data available,,,
010208500,No data available,,,
03280900,No data available,,,
011390672,No data available,,,
03276700,No data available,,,
08141500,No data available,,,
013240000,No data available,,,
02156999,No data available,,,
013340000,No data available,,,
012126000,No data available,,,
013344500,No data available,,,
04130000,No data available,,,
011119940,No data available,,,
04030000,No data available,,,
09243900,No data available,,,
04034500,No data available,,,
010353500,No data available,,,
09278000,No data available,,,
03153500,No data available,,,
02086000,No data available,,,
014301000,No data available,,,
01392210,No data available,,,
012076800,No data available,,,
011048500,No data available,,,
014305500,No data available,,,
01300000,No data available,,,
05051700,No data available,,,
08058900,No data available,,,
011463200,No data available,,,
04049500,No data available,,,
011148500,No data available,,,
02208130,No data available,,,
012100000,No data available,,,
012104500,No data available,,,
013266000,No data available,,,
016404200,No data available,,,
06681000,No data available,,,
06200500,No data available,,,
07066500,No data available,,,
011316605,No data available,,,
09055300,No data available,,,
013305000,No data available,,,
02098000,No data available,,,
06300500,No data available,,,
011451715,No data available,,,
011203220,No data available,,,
05427850,No data available,,,
011298000,No data available,,,
014362000,No data available,,,
01436500,No data available,,,
03466228,No data available,,,
01432000,No data available,,,
03130500,No data available,,,
016764000,No data available,,,
01439800,No data available,,,
011056500,No data available,,,
02357150,No data available,,,
011156500,No data available,,,
09097900,No data available,,,
011463980,No data available,,,
014096850,No data available,,,
011152000,No data available,,,
011413320,No data available,,,
013341050,No data available,,,
07327490,No data available,,,
05515000,No data available,,,
03353180,No data available,,,
011202710,No data available,,,
014090400,No data available,,,
011123000,No data available,,,
011390500,No data available,,,
02441390,No data available,,,
011294000,No data available,,,
011023000,No data available,,,
011214600,No data available,,,
015108000,No data available,,,
05415000,No data available,,,
04122000,No data available,,,
06341400,No data available,,,
012026400,No data available,,,
011055800,No data available,,,
08088300,No data available,,,
03438220,No data available,,,
050100200,No data available,,,
014020300,No data available,,,
010338000,No data available,,,
015493000,No data available,,,
07017500,No data available,,,
03250310,No data available,,,
012116500,No data available,,,
06275000,No data available,,,
07170000,No data available,,,
06312500,No data available,,,
09270500,No data available,,,
06216000,No data available,,,
010360900,No data available,,,
013317000,No data available,,,
0394000000000000,No data available,,,
06212500,No data available,,,
012175500,No data available,,,
08268700,No data available,,,
015747000,No data available,,,
01420000,No data available,,,
05432695,No data available,,,
011151870,No data available,,,
08064800,No data available,,,
011139500,No data available,,,
04138500,No data available,,,
03295500,No data available,,,
010250800,No data available,,,
014181900,No data available,,,
011136800,No data available,,,
02411000,No data available,,,
07277700,No data available,,,
07040100,No data available,,,
03311600,No data available,,,
01466900,No data available,,,
015087080,No data available,,,
03122500,No data available,,,
012108500,No data available,,,
011140000,No data available,,,
013290190,No data available,,,
014209500,No data available,,,
010322500,No data available,,,
011040000,No data available,,,
04141000,No data available,,,
02246459,No data available,,,
011044500,No data available,,,
02208050,No data available,,,
014309500,No data available,,,
02315000,No data available,,,
02444000,No data available,,,
010348900,No data available,,,
014087380,No data available,,,
012323700,No data available,,,
06478540,No data available,,,
02462951,No data available,,,
014211400,No data available,,,
011111500,No data available,,,
09132985,No data available,,,
05423000,No data available,,,
011015000,No data available,,,
05376500,No data available,,,
010277500,No data available,,,
06187950,No data available,,,
012024000,No data available,,,
02240954,No data available,,,
09470000,No data available,,,
011153900,No data available,,,
012124000,No data available,,,
012120500,No data available,,,
09092500,No data available,,,
01475000,No data available,,,
011396400,No data available,,,
014325000,No data available,,,
01575000,No data available,,,
014192000,No data available,,,
011216200,No data available,,,
01093000,No data available,,,
06329597,No data available,,,
014242500,No data available,,,
09083800,No data available,,,
02247222,No data available,,,
014342500,No data available,,,
011042400,No data available,,,
011046100,No data available,,,
03216350,No data available,,,
06320000,No data available,,,
06646600,No data available,,,
010338001,No data available,,,
012147000,No data available,,,
09071300,No data available,,,
011070465,No data available,,,
011120520,No data available,,,
08062900,No data available,,,
010310000,No data available,,,
011176000,No data available,,,
010210000,No data available,,,
06408500,No data available,,,
013258500,No data available,,,
02376000,No data available,,,
012389500,No data available,,,
02197520,No data available,,,
013329500,No data available,,,
016060000,No data available,,,
050124200,No data available,,,
012158040,No data available,,,
014211010,No data available,,,
012447383,No data available,,,
010261000,No data available,,,
015743850,No data available,,,
011103500,No data available,,,
011334300,No data available,,,
05531000,No data available,,,
02300021,No data available,,,
04231600,No data available,,,
07280000,No data available,,,
012032500,No data available,,,
013254500,No data available,,,
06449400,No data available,,,
09513835,No data available,,,
06351000,No data available,,,
09184000,No data available,,,
012036000,No data available,,,
013250000,No data available,,,
014333500,No data available,,,
07381450,No data available,,,
011284400,No data available,,,
010318500,No data available,,,
015055500,No data available,,,
014233500,No data available,,,
014237000,No data available,,,
05337400,No data available,,,
02444160,No data available,,,
016759800,No data available,,,
011154100,No data available,,,
01400500,No data available,,,
012464770,No data available,,,
014250500,No data available,,,
06048700,No data available,,,
013333000,No data available,,,
08032500,No data available,,,
013337500,No data available,,,
09250000,No data available,,,
07150500,No data available,,,
06336500,No data available,,,
04161500,No data available,,,
01470756,No data available,,,
01328000,No data available,,,
011160500,No data available,,,
04061500,No data available,,,
012128000,No data available,,,
050051310,No data available,,,
07029000,No data available,,,
015477740,No data available,,,
011141280,No data available,,,
016103000,No data available,,,
011447360,No data available,,,
01095505,No data available,,,
06891810,No data available,,,
010251300,No data available,,,
05581500,No data available,,,
012324680,No data available,,,
02388900,No data available,,,
011451500,No data available,,,
06893793,No data available,,,
012419000,No data available,,,
03533000,No data available,,,
03266500,No data available,,,
01035000,No data available,,,
014303600,No data available,,,
014134000,No data available,,,
06816000,No data available,,,
011379000,No data available,,,
01135000,No data available,,,
011428000,No data available,,,
011525530,No data available,,,
02152285,No data available,,,
09287000,No data available,,,
09034500,No data available,,,
06707500,No data available,,,
012331500,No data available,,,
012086500,No data available,,,
014142800,No data available,,,
08352500,No data available,,,
09303300,No data available,,,
07064300,No data available,,,
012352500,No data available,,,
07257000,No data available,,,
06760000,No data available,,,
010270872,No data available,,,
010243260,No data available,,,
03278500,No data available,,,
06386000,No data available,,,
05464942,No data available,,,
06131000,No data available,,,
014153500,No data available,,,
011257100,No data available,,,
01603500,No data available,,,
01156000,No data available,,,
08248000,No data available,,,
06719500,No data available,,,
06048500,No data available,,,
07099500,No data available,,,
016200000,No data available,,,
013049500,No data available,,,
03115973,No data available,,,
012098500,No data available,,,
09399000,No data available,,,
011532500,No data available,,,
014354200,No data available,,,
015297610,No data available,,,
08189800,No data available,,,
012210900,No data available,,,
011408850,No data available,,,
09058800,No data available,,,
02341725,No data available,,,
010336600,No data available,,,
011436000,No data available,,,
011443500,No data available,,,
011389720,No data available,,,
011316000,No data available,,,
010347600,No data available,,,
050070900,No data available,,,
05497000,No data available,,,
011413323,No data available,,,
013038500,No data available,,,
02012500,No data available,,,
010350340,No data available,,,
050106100,No data available,,,
06768500,No data available,,,
03374500,No data available,,,
011431800,No data available,,,
014022500,No data available,,,
015511000,No data available,,,
014026000,No data available,,,
010336760,No data available,,,
07322500,No data available,,,
014150800,No data available,,,
09489100,No data available,,,
08340500,No data available,,,
08080950,No data available,,,
014073001,No data available,,,
08240500,No data available,,,
014306340,No data available,,,
013141000,No data available,,,
012476000,No data available,,,
07345000,No data available,,,
050055000,No data available,,,
013295000,No data available,,,
06394000,No data available,,,
03190400,No data available,,,
06290500,No data available,,,
06772000,No data available,,,
012344000,No data available,,,
012302055,No data available,,,
09041000,No data available,,,
06776500,No data available,,,
08227000,No data available,,,
016226400,No data available,,,
012340500,No data available,,,
011414100,No data available,,,
03030852,No data available,,,
011308000,No data available,,,
011341400,No data available,,,
011176200,No data available,,,
011208000,No data available,,,
014141500,No data available,,,
02075000,No data available,,,
050028000,No data available,,,
08120700,No data available,,,
02246300,No data available,,,
012207850,No data available,,,
013010065,No data available,,,
011143250,No data available,,,
012143700,No data available,,,
03313000,No data available,,,
011424000,No data available,,,
015564879,No data available,,,
015297200,No data available,,,
011275000,No data available,,,
011046300,No data available,,,
011520500,No data available,,,
013274200,No data available,,,
03513500,No data available,,,
016247000,No data available,,,
012080010,No data available,,,
07344486,No data available,,,
011117600,No data available,,,
02310147,No data available,,,
011475500,No data available,,,
011220000,No data available,,,
011097000,No data available,,,
011224500,No data available,,,
014313200,No data available,,,
06627000,No data available,,,
013077000,No data available,,,
014302480,No data available,,,
013340600,No data available,,,
012311000,No data available,,,
06727000,No data available,,,
07214500,No data available,,,
012413470,No data available,,,
01420980,No data available,,,
02294290,No data available,,,
015276000,No data available,,,
014010000,No data available,,,
011408500,No data available,,,
05558300,No data available,,,
